brand,model_number,model_name,year,randomdata,model_search
Landini,L4240HSTC,Hydraulic Excavator,2017,1439,L4240HSTC
John Deere,LS1401203,4WD Tractor,2007,1203,LS1401203
Volvo,R40441789,Wheel Loader,2017,1789,R40441789
Volvo,Lexion 520,4WD Tractor,2012,1415,Lexion520
Caterpillar,9570RT,2WD Tractor,2005,1531,9570RT
John Deere,H255S1714,Vibratory Smooth Drum Roller,2017,1714,H255S1714
Wil-Rich,Optimer 4001,Vibratory Smooth Drum Roller,2013,1296,Optimer4001
John Deere,E37C1403,Hydraulic Excavator,2013,1403,E37C1403
Komatsu,STEIGER 420 WHEELED,Hydraulic Excavator,2004,1476,STEIGER420WHEELED
Caterpillar,PC600-6,Feller Buncher,2005,1899,PC600-6
Claas,2261598,Wheel Loader,2005,1598,2261598
Kubota,AP1055E,Crawler Tractor,2000,1641,AP1055E
Case IH,21801534,Cultivator,2011,1534,21801534
Komatsu,D53P-16,Wheel Loader,2008,1780,D53P-16
Caterpillar,5325 Utility,4WD Tractor,2011,1294,5325Utility
Case IH,962L1700,Combine,2007,1700,962L1700
Hitachi,332D1550,Harrow,2013,1550,332D1550
New Holland,Classic T161,Hydraulic Excavator,2013,1999,ClassicT161
Case IH,L3301-HST,Combine,2018,1494,L3301-HST
AMCO,SB541C,Loader Backhoe,2011,1383,SB541C
Eco Log,DC150 XLT,4WD Tractor,2002,1386,DC150XLT
Caterpillar,16101597,Wheel Dozer,2007,1597,16101597
Komatsu,Magnum 275,Shovel,2003,1734,Magnum275
Caterpillar,DHS745,4WD Tractor,2003,1913,DHS745
Champion,LT85A1084,Multi Terrain Loader,2016,1084,LT85A1084
Caterpillar,7730 152 PTO hp,Vibratory Compactor,2015,1087,7730152PTOhp
Komatsu,K9-4 Kohler,Crawler Tractor,2005,1655,K9-4Kohler
New Holland,450E/6415,Hydraulic Excavator,2006,1165,450E6415
Liebherr,L3830HST,4WD Tractor,2005,1899,L3830HST
JCB,Mistral 50,Hydraulic Excavator,2000,1695,Mistral50
Washburn,S6901089,4WD Tractor,2013,1089,S6901089
Volvo,EC301270,Asphalt Paver,2000,1270,EC301270
YTO,HD PLUS 90 VT,4WD Tractor,2013,1951,HDPLUS90VT
Vibromax,CS1421748,Combine,2014,1748,CS1421748
Caterpillar,CX36B ZTS,Crawler Tractor,2012,1329,CX36BZTS
Ezee-On,4121062,4WD Tractor,2006,1062,4121062
New Holland,312D/312D L,Mobile Excavator,2018,1741,312D312DL
Case,590 Super N,Loader Backhoe,2017,1927,590SuperN
Kubota,WA180-3PT,Skid Steer Loader,2017,1180,WA180-3PT
Caterpillar,7400-41W,Vibratory Smooth Drum Roller,2003,1883,7400-41W
John Deere,PC270LC-8,Utility Tractor,2017,1735,PC270LC-8
Mecalac,S6501126,Disc,2001,1126,S6501126
Case IH,78101372,Mobile Excavator,2014,1372,78101372
New Holland,HRB 503 DR,2WD Tractor,2001,1122,HRB503DR
Doosan,Arion 530,Disc,2001,1804,Arion530
Volvo BM,R480LC-9,Utility Tractor,2015,1740,R480LC-9
Caterpillar,U25-HGS,Hydraulic Excavator,2007,1622,U25-HGS
Caterpillar,BB621C,Hydraulic Excavator,2019,1183,BB621C
